20140803:10:0:7.732751,906.989990,207265,0.000000
20140803:10:0:7.816467,1182.239990,95568,0.303476
20140804:9:0:12.239647,1194.430054,202872,0.010311
20140804:10:0:0.000289,1162.869995,246774,-0.026423
20140804:10:0:0.000873,1601.170044,109312,0.376912
20140804:10:0:0.003926,1008.859985,494090,-0.369923
20140804:10:0:0.004349,1088.209961,116081,0.078653
20140804:10:0:0.004545,983.340027,591184,-0.096369
20140804:10:0:0.008328,1255.560059,18886,0.276832
20140804:10:0:0.008813,1396.689941,510334,0.112404
20140804:10:0:0.010534,1111.449951,621158,-0.204226
20140804:10:0:0.010708,1011.039978,13512,-0.090341
20140804:10:0:0.012698,1340.439941,615717,0.325803
20140804:10:0:0.013220,1067.930054,226594,-0.203299
20140804:10:0:0.014277,1475.979980,512104,0.382094
20140804:10:0:0.015515,1615.849976,288414,0.094764
20140804:10:0:0.018830,1256.660034,231252,-0.222292
20140804:10:0:0.019198,1037.459961,230545,-0.174431
20140804:10:0:0.019599,1334.180054,43889,0.286006
20140804:10:0:0.023200,1064.839966,479643,-0.201877
20140804:10:0:0.024588,1078.520020,428287,0.012847
20140804:10:0:0.024739,1354.890015,528085,0.256249
20140804:10:0:0.025270,1404.250000,48273,0.036431
20140804:10:0:0.026303,1250.170044,325882,-0.109724
20140804:10:0:0.028186,1169.030029,378024,-0.064903
20140804:10:0:0.030527,1182.839966,318436,0.011813
20140804:10:0:0.030892,1548.599976,452462,0.309222
20140804:10:0:0.031263,1323.819946,11687,-0.145150
20140804:10:0:0.032271,1468.650024,117939,0.109403
20140804:10:0:0.032919,1623.189941,576784,0.105226
20140804:10:0:0.035864,1406.550049,383356,-0.133466
20140804:10:0:0.037442,1091.479980,634218,-0.224002
20140804:10:0:0.043074,968.950012,492197,-0.112260
20140804:10:0:0.043463,1257.949951,204437,0.298261
20140804:10:0:0.046535,1742.150024,700418,0.384912
20140804:10:0:0.049201,1265.810059,453387,-0.273421
20140804:10:0:0.051100,1162.599976,466520,-0.081537
20140804:10:0:0.052011,1297.300049,725540,0.115861
